,color_a,color_b,color_c,strap,crownGaurd,hands,hour_marker,minute_marker,bezel_marker,ref
Simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.091666666666667
Date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.425
Day-Date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.483333333333334
pepenite,1.8916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
white gold,28.266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Immutable Rose Gold,22.620833333333334,0.0,8.483333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steel,11.35,0.0,10.179166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gold,15.120833333333334,0.0,10.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbide,20.75,0.0,10.158333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Azure,0.0,14.729166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base Pink,0.0,3.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomato,0.0,8.191666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lavender,0.0,8.195833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandstorm,0.0,1.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lambo,0.0,8.220833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zucchini,0.0,11.479166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spruce,0.0,8.204166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiffany,0.0,8.195833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,11.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midnight,0.0,8.195833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shiraz,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hulk,0.0,0.0,11.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miladyium,0.0,0.0,10.158333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
white Gold,0.0,0.0,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candy Blue,0.0,0.0,13.545833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nakamigium,0.0,0.0,10.179166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbium,0.0,0.0,5.091666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jubliee,0.0,0.0,0.0,18.954166666666666,0.0,0.0,0.0,0.0,0.0,0.0
Oyster,0.0,0.0,0.0,29.641666666666666,0.0,0.0,0.0,0.0,0.0,0.0
Jubilee Reverso,0.0,0.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0
Genuine Rubber,0.0,0.0,0.0,10.829166666666667,0.0,0.0,0.0,0.0,0.0,0.0
Nato,0.0,0.0,0.0,27.025,0.0,0.0,0.0,0.0,0.0,0.0
Simple Crown,0.0,0.0,0.0,0.0,34.5375,0.0,0.0,0.0,0.0,0.0
Crown Gaurd,0.0,0.0,0.0,0.0,65.4625,0.0,0.0,0.0,0.0,0.0
Plongeur,0.0,0.0,0.0,0.0,0.0,32.266666666666666,0.0,0.0,0.0,0.0
Duaphine,0.0,0.0,0.0,0.0,0.0,45.12083333333333,0.0,0.0,0.0,0.0
Baton,0.0,0.0,0.0,0.0,0.0,22.6125,0.0,0.0,0.0,0.0
Roman,0.0,0.0,0.0,0.0,0.0,0.0,25.5375,0.0,0.0,0.0
Numerals,0.0,0.0,0.0,0.0,0.0,0.0,23.275,0.0,0.0,0.0
GM Time,0.0,0.0,0.0,0.0,0.0,0.0,11.654166666666667,0.0,0.0,0.0
Arabic,0.0,0.0,0.0,0.0,0.0,0.0,4.675,0.0,0.0,0.0
Double Baguette,0.0,0.0,0.0,0.0,0.0,0.0,16.275,0.0,0.0,0.0
Baguette,0.0,0.0,0.0,0.0,0.0,0.0,18.583333333333332,0.0,0.0,0.0
Railroad track with sub-seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.175,0.0,0.0
Sticks-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.220833333333335,0.0,0.0
Sub-seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266666666666667,0.0,0.0
Railroad track-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.025,0.0,0.0
Sticks-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7875,0.0,0.0
Railroad track-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0
Sticks-Numerals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.025,0.0,0.0
Fluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.945833333333333,0.0
Dive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.841666666666665,0.0
count-up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.55,0.0
simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6625,0.0
